0.677,1.702,1.593,2.074,3.988,4.362,4.216,4.697,6.27,8.504,10.972,19.695,27.217,39.025,57.303,88.442,137.532,221.702,366.027
0.68,1.614,1.525,2.088,3.909,4.331,4.224,4.725,6.1,8.721,11.081,19.759,27.342,38.962,57.404,88.989,136.69,222.841,367.533
0.702,1.429,1.551,2.136,4.123,4.278,4.131,4.793,6.2,8.512,11.044,19.724,27.326,38.973,57.407,88.291,136.842,222.044,365.655
0.717,1.301,1.527,2.106,3.94,4.312,4.179,4.784,6.211,8.585,11.085,20.021,27.214,38.978,58.596,88.404,136.413,222.206,366.364
0.702,1.578,1.527,2.11,3.92,4.517,4.114,4.752,6.109,8.565,11.195,19.738,27.163,39.119,57.21,88.31,136.681,221.929,368.022
0.732,1.589,1.539,2.206,3.892,4.331,4.084,4.618,6.181,8.574,10.967,19.676,27.179,38.885,57.361,91.186,135.946,223.354,366.351
0.681,1.609,1.542,2.108,3.988,4.141,4.063,4.869,6.183,8.543,10.958,19.738,27.424,39.46,57.387,89.07,136.496,224.813,368.043
0.703,1.543,1.552,2.125,3.939,4.325,4.078,4.723,6.15,8.523,11.023,19.749,27.064,39.297,57.42,88.528,138.062,221.847,366.206
0.724,1.4,1.553,2.097,4.033,4.286,4.089,4.674,6.162,8.564,11.038,20.05,27.056,38.796,57.273,88.257,136.687,222.145,365.535
0.711,1.542,1.546,2.126,3.925,4.298,4.104,4.721,6.176,8.569,11.233,19.757,27.031,38.955,57.175,89.561,136.121,221.586,368.257
0.883,1.347,1.564,2.119,3.936,4.353,4.121,4.658,6.127,8.529,11.067,19.75,27.651,39.11,57.108,88.988,136.437,223.074,366.711
0.701,1.428,1.542,2.089,3.982,4.328,4.122,4.712,6.246,8.698,10.957,19.695,27.065,38.876,57.265,88.86,136.508,222.135,366.337
0.688,1.308,1.558,2.125,3.986,4.313,4.041,4.74,6.18,8.881,10.945,19.799,27.059,38.878,57.482,89.681,136.477,221.62,367.337
0.698,1.533,1.56,2.104,3.923,4.315,4.1,4.756,6.171,8.653,10.983,21.92,27.234,38.927,57.036,90.207,136.616,222.101,365.928
0.692,1.502,1.553,2.108,3.981,4.241,4.103,4.741,6.206,8.626,10.991,19.786,28.65,39.084,57.087,88.668,136.303,222.909,369.313
0.703,1.597,1.558,2.271,3.947,4.169,4.064,4.707,6.2,8.607,11.03,19.809,27.497,39.042,57.298,88.611,138.599,222.07,367.14
0.727,1.643,1.557,2.078,3.899,4.341,4.149,4.68,6.192,8.64,11.078,19.656,27.092,39.005,57.26,89.026,136.09,221.751,365.578
0.708,1.328,1.559,2.112,3.945,4.243,4.183,4.752,6.174,8.602,11.06,19.609,27.329,39.303,57.444,90.987,136.558,221.9,369.871
0.681,1.406,1.551,2.109,4.054,4.308,4.154,4.751,6.241,8.562,11.032,20.069,27.256,38.884,57.85,89.209,135.656,222.265,366.554
0.694,1.419,1.535,2.143,3.934,4.229,4.201,4.838,6.133,8.707,11.006,19.708,27.568,38.752,57.231,89.229,136.006,223.144,366.871
0.706,1.404,1.527,2.108,3.951,4.521,4.132,4.801,6.095,8.528,11.051,19.83,27.091,39.068,57.424,88.572,135.974,222.083,369.791
0.727,1.393,1.526,2.095,3.939,4.164,4.083,4.724,6.355,8.541,11.085,19.719,27.162,49.332,58.353,88.997,136.524,221.87,366.902
0.702,1.505,1.546,2.14,3.946,4.226,4.077,4.673,6.123,8.604,10.996,19.686,27.096,39.037,57.052,88.557,137.131,222.384,366.48
0.701,1.394,1.596,2.117,4.018,4.169,4.126,4.697,6.176,8.543,11.062,19.918,27.447,38.971,57.083,88.492,136.379,222.871,368.83
0.737,1.407,1.562,2.098,3.915,4.378,4.072,4.743,6.194,8.545,11.305,19.697,27.245,39.368,56.888,88.524,135.87,221.869,366.141
0.681,1.42,1.533,2.108,4.073,4.308,4.091,4.731,6.183,8.547,10.941,19.783,27.23,38.918,57.013,88.778,137.599,221.827,369.871
0.681,1.454,1.554,2.19,3.986,4.385,4.102,4.757,6.141,8.578,11.014,19.755,45.056,38.859,57.317,88.745,136.518,221.327,366.688
0.711,1.367,1.551,2.09,3.99,4.304,4.094,4.657,6.132,8.518,11.041,19.735,33.736,39.471,57.016,88.77,136.067,221.316,366.14
0.679,1.389,1.54,2.085,3.903,4.303,4.084,4.832,6.306,8.737,10.957,20.068,27.251,38.845,57.148,90.142,136.142,223.007,370.227
0.728,1.253,1.559,2.113,3.952,4.334,4.086,4.668,6.139,8.549,11.059,19.836,27.414,39.131,57.313,88.892,138.936,221.997,366.417
0.682,1.436,1.553,2.081,3.936,4.286,4.12,4.667,6.166,8.566,11.142,19.704,27.155,39.164,57.77,88.541,136.205,221.065,365.627
0.694,1.367,1.539,2.268,3.956,4.331,4.066,4.787,6.214,8.578,11.154,19.749,27.348,38.829,57.427,88.732,136.199,222.418,368.57
0.719,1.391,1.539,2.126,3.948,4.3,4.112,4.818,6.25,8.586,11.141,19.715,27.049,39.142,57.083,88.825,136.008,223.151,366.398
0.717,1.384,1.549,2.121,3.949,4.444,4.243,4.86,6.186,8.567,11.03,19.987,27.129,38.906,56.832,88.348,136.114,221.605,370.298
0.703,1.419,1.53,2.098,3.948,4.227,4.111,4.707,6.148,8.59,11.125,19.646,27.165,39.169,57.22,88.587,135.692,221.909,366.914
